,tricep angle,bicep angle
0,60,150.0
1,60,148.6
2,60,147.2
3,60,145.8
4,60,144.4
5,60,143.0
6,60,141.6
7,60,140.2
8,60,138.8
9,60,137.4
10,60,136.0
11,60,134.6
12,60,133.2
13,60,131.8
14,60,130.4
15,60,129.0
16,60,127.6
17,60,126.2
18,60,124.8
19,60,123.4
20,60,122.0
21,60,120.6
22,60,119.2
23,60,117.80000000000001
24,60,116.4
25,60,115.0
26,60,113.6
27,60,112.2
28,60,110.80000000000001
29,60,109.4
30,60,108.0
31,60,106.6
32,60,105.2
33,60,103.80000000000001
34,60,102.4
35,60,101.0
36,60,99.6
37,60,98.2
38,60,96.80000000000001
39,60,95.4
40,60,94.0
41,60,92.6
42,60,91.2
43,60,89.80000000000001
44,60,88.4
45,60,87.0
46,60,85.60000000000001
47,60,84.2
48,60,82.80000000000001
49,60,81.4
50,60,80.0
51,60,81.4
52,60,82.8
53,60,84.2
54,60,85.6
55,60,87.0
56,60,88.4
57,60,89.8
58,60,91.2
59,60,92.6
60,60,94.0
61,60,95.4
62,60,96.8
63,60,98.2
64,60,99.6
65,60,101.0
66,60,102.4
67,60,103.8
68,60,105.2
69,60,106.6
70,60,108.0
71,60,109.4
72,60,110.8
73,60,112.19999999999999
74,60,113.6
75,60,115.0
76,60,116.4
77,60,117.8
78,60,119.19999999999999
79,60,120.6
80,60,122.0
81,60,123.4
82,60,124.8
83,60,126.19999999999999
84,60,127.6
85,60,129.0
86,60,130.4
87,60,131.8
88,60,133.2
89,60,134.6
90,60,136.0
91,60,137.4
92,60,138.8
93,60,140.2
94,60,141.6
95,60,143.0
96,60,144.39999999999998
97,60,145.8
98,60,147.2
99,60,148.6
100,60,150.0
